group,mean_gap,se,ci_low,ci_high
Winner,0.13947511745744884,0.003950999570341155,0.13169637327315098,0.14712670482485316
Loser,0.17265621811090576,0.00537378401351947,0.16259748063286292,0.18279716299396823
Non-voter,0.14272805989319062,0.008016711863836332,0.12717235104278915,0.15796186885749358
