item,W4,W6,diff_w4_to_w6,pct_w4,pct_w6,diff_pp
No waste,0.1864123159303882,0.14812159449383425,-0.03829072143655396,18.6,14.8,-3.8
Quality services,0.3766983695652174,0.29566719447243417,-0.08103117509278324,37.7,29.6,-8.1
Law and order,0.28710517378014266,0.3005763688760807,0.013471195095938027,28.7,30.1,1.3
Clean politics,0.3750706933604796,0.32847242275483685,-0.046598270605642755,37.5,32.8,-4.7
