check,dv,estimate,std.error,p.value,sig,r_sq,n
Individual DVs,sat_democracy_n,0.3420309546866903,0.017480420702077858,3.7181242025508704e-83,***,0.08170445421058885,7392
Individual DVs,sat_govt_n,0.5750633475950404,0.02129401903005527,3.29133600340492e-153,***,0.150820602863016,7338
Individual DVs,qual_pref_dem_n,-0.03208858444502971,0.03040341834883217,0.2912652871848848,,0.059683231538622136,7267
Individual DVs,qual_extent_n,-0.05903092856604441,0.006488601118788221,1.1995257390912862e-19,***,0.7227993265570817,6655
Individual DVs,qual_sys_support_n,-0.30002708455180566,0.0299460176309647,2.1416441854238715e-23,***,0.032638252368191366,4776
Individual DVs,qual_sys_change_n,-0.3413197138692765,0.025097744373651382,2.4347875046481957e-41,***,0.05580915329473832,4690
