check,dv,estimate,std.error,p.value,sig,r_sq
Trust control: Base,sat_index,0.45321669539729,0.015627672601581974,2.1931941917124664e-175,***,0.16083464364859665
Trust control: With trust,sat_index,0.3520913734982513,0.015529486172437506,3.971861440431717e-110,***,0.22995964726589288
Trust control: Base,qual_index,-0.06160485670168717,0.018220779264024153,7.258431300645733e-4,***,0.15185020341459837
Trust control: With trust,qual_index,-0.04308164148907228,0.018882610160012785,0.022543744545280468,*,0.1543384074542334
