set,coef,se,p,sig
Set1,0.0359641685692536,0.010968377916908951,0.0010436612179271264,**
Set2,0.05339584704093011,0.010761166829905855,7.030131869181078e-7,***
Set3,0.0679542039151649,0.011516894407863795,3.6768056287583717e-9,***
Set4,0.02224057124275835,0.01038833531627852,0.032291074479704786,*
