set,item,ame_full,se_full,ame_no_thai4,se_no_thai4,diff_pp
Set1,Reduce gap rich/poor,-0.014599602436999195,0.008205489179101381,-0.01306989974253502,0.008052473347705357,0.15297026944641745
Set1,Free elections,-0.010196011097616564,0.007826117967402348,-0.010197303620103869,0.007880231108214423,-1.2925224873051172e-4
Set1,No waste,-0.0068132916927627655,0.007913261187048149,-0.007932832653741437,0.008050734385879913,-0.11195409609786712
Set1,Free expression,0.03160890522737817,0.011985779819014513,0.031200036016380408,0.012187477857535345,-0.04088692109977636
Set2,Legislature oversight,0.009841578228928763,0.009029955070533415,0.009568846179266897,0.009134192480304611,-0.027273204966186612
Set2,Basic necessities,-0.021168210059767923,0.00957403146017794,-0.01993701198418512,0.00968966199736204,0.12311980755828032
Set2,Organize groups,0.023404647091905487,0.012222718578408846,0.023142004639651773,0.012408432546704871,-0.026264245225371408
Set2,Quality services,-0.01207801526106613,0.016997810425558292,-0.012773838834733745,0.017513866888396738,-0.06958235736676151
Set3,Law and order,-0.049907857088661,0.010920162374573852,-0.05024335562237952,0.010852175362967443,-0.033549853371851734
Set3,Media freedom,0.03812346125884588,0.006473857978593384,0.03896351557546934,0.006525430606981596,0.08400543166234634
Set3,Jobs for all,-0.009107613848726926,0.013543474998723371,-0.009212616428487036,0.013768766253271609,-0.010500257976010959
Set3,Party competition,0.020892009678542076,0.012759820020882304,0.02049245647539732,0.012830717892135047,-0.03995532031447549
Set4,Protest freedom,0.01164563483708166,0.00915719121783574,0.010197558442193676,0.008836638003266725,-0.1448076394887983
Set4,Clean politics,-0.006948979581584938,0.008531306436110503,-0.004189175658941259,0.008277547682890839,0.27598039226436794
Set4,Court protection,0.0031825369791665162,0.008275837729052963,0.0032394818290020326,0.008412211613997637,0.005694484983551637
Set4,Unemployment aid,-0.007879192234663266,0.011112826462677652,-0.009247864612254386,0.011740106822475092,-0.13686723775911194
