country_name,n,mean_trust,mean_dem_sat,mean_dem_leg,mean_auth_accept,mean_regime_pref,mean_emergency,mean_covid_perf,covid_rate
Cambodia,1242,0.21,0.2,-0.16,2.54,2.17,2.74,3.19,8.7
Thailand,1200,-0.98,-0.72,-0.47,1.78,1.7,2.44,2.18,40.1
Vietnam,1237,0.73,0.47,0.57,2.55,2.29,3.05,3.52,65.9
