country_name,W2,W3,W4,W6,earliest,latest,total_change
Thailand,-0.9,4.6,10.6,17.5,-0.9,17.5,18.4
Mongolia,-3,7.6,3.3,3.1,-3,3.1,6.1
China,4.8,5.3,10.8,NA,4.8,10.8,6.000000000000001
Philippines,1.1,8,11.9,3.5,1.1,3.5,2.4
Malaysia,12.3,16.9,13.2,NA,12.3,13.2,0.8999999999999986
Vietnam,4.1,-7,3.7,NA,4.1,3.7,-0.39999999999999947
Japan,10.9,1.4,6,NA,10.9,6,-4.9
Hong Kong,8.6,3.1,-1,NA,8.6,-1,-9.6
Taiwan,6.3,NA,1.4,-5.6,6.3,-5.6,-11.899999999999999
South Korea,NA,24.5,33,-4.4,24.5,-4.4,-28.9
