country_name,n,trust_complete,dem_sat_complete,dem_leg_complete,auth_accept_complete,regime_pref_complete,emergency_complete,covid_perf_complete,covid_restrict_complete
Cambodia,1242,88,96.3,92.8,93.5,93.8,97.7,98.8,95.6
Thailand,1200,92.9,95.3,99.8,86.7,90.1,92.8,97.2,88.6
Vietnam,1237,95,99.2,96.5,94.4,96.7,98.1,99.5,0
