country_name,n,pct_female,mean_age,pct_urban,pct_tertiary
Cambodia,1242,50.2,41.3,25.3,6.4
Thailand,1200,52.8,47.5,30.9,18.7
Vietnam,1237,53.1,42,35.2,26.8
