set,coef,se,p,sig
Set1,0.04920799591881238,0.015909638944428345,0.0019861431513577238,**
Set2,0.0770844992964564,0.015467719319546403,6.328921245082939e-7,***
Set3,0.0864030454526948,0.016850102915021863,2.9779845260442347e-7,***
Set4,0.05398013942220657,0.015572772229055242,5.294875173491051e-4,***
