country_name,wave_label,wave,mean_ame_procedural,mean_ame_substantive,mean_ame_governance,se_agg_procedural,se_agg_substantive,se_agg_governance,proc_sub_gap,proc_sub_gap_se,proc_sub_gap_ci_low,proc_sub_gap_ci_high,n_items_procedural,n_items_substantive,n_items_governance,n_sig_procedural,n_sig_substantive,n_sig_governance
Australia,W6,6,0.004338363156599256,-0.03345170806995085,0.024774981756752763,0.009695436872839611,0.012083366034585964,0.013511234737932873,0.037790071226550107,0.015492231307368338,0.007425297864108164,0.06815484458899204,8,4,4,0,0,1
Cambodia,W3,3,0.05580347843068573,-0.07646620041111465,-0.035140756450257424,0.012940927581519223,0.017790597102751902,0.016921874123161904,0.13226967884180038,0.021999385262833356,0.089150883726647,0.17538847395695376,8,4,4,4,3,1
Cambodia,W4,4,0.05169378555269608,-0.08048239700744458,-0.022905174097946752,0.010860659752501335,0.01477343894650523,0.013717687757819425,0.13217618256014066,0.018335987253641946,0.09623764754300244,0.16811471757727886,8,4,4,5,2,2
Cambodia,W6,6,0.056446949033979225,-0.08123558760459935,-0.03165831046336222,0.022551835352051273,0.029435142091826388,0.024638931464258884,0.13768253663857857,0.03708116594326612,0.06500345138977698,0.21036162188738017,8,4,4,4,1,1
Indonesia,W3,3,-0.02024373380681774,0.016368586399924574,0.024118881213711016,0.008514271089516407,0.013560284145383059,0.014266370434307778,-0.036612320206742315,0.016011686928281543,-0.06799522658617413,-0.005229413827310493,8,4,4,0,0,1
Indonesia,W4,4,0.007418844349878097,-0.010914275492115799,-0.003923413207640173,0.008128366812994692,0.014109293232208117,0.014070349081085008,0.018333119841993897,0.016283196939146417,-0.013581946158733076,0.050248185842720866,8,4,4,1,0,0
Indonesia,W6,6,0.00740556520971999,0.0038273009133869907,-0.0186384313328253,0.00829343990997962,0.013798260134264132,0.01280977235860228,0.003578264296332999,0.016098854874594826,-0.02797549125787286,0.035132019850538855,8,4,4,2,1,1
Japan,W3,3,0.0073200445440179795,0.019673532584441038,-0.03431362167247757,0.007221594479688942,0.011902392294967399,0.013609541149636053,-0.012353488040423058,0.013921866583629263,-0.039640346544336416,0.014933370463490298,8,4,4,1,1,1
Japan,W4,4,0.02587183781296384,-0.025599488244782313,-0.026144187381144532,0.009701792393383708,0.015913200507778637,0.01870580981926702,0.05147132605774615,0.018637454924025552,0.01494191440665607,0.08800073770883624,8,4,4,2,1,0
Malaysia,W3,3,0.05476812955095326,-0.0974903234850814,-0.012045935616824752,0.01697468398662516,0.022375005328656297,0.026172231573219202,0.15225845303603466,0.02808524096217062,0.09721138075018025,0.20730552532188906,8,4,4,2,2,1
