country_name,n,mean_proc,dem_years
Vietnam,1116,1.1160377358490565,0
Cambodia,1116,2.0881226053639845,5
Indonesia,1370,1.570459683496609,25
Mongolia,1139,2.1497227356746764,30
Thailand,1009,1.5468914646996839,30
Philippines,1160,1.8331870061457418,35
South Korea,1196,1.699235344095157,35
Taiwan,1504,1.7183480027081923,35
Australia,1185,2.064957264957265,120
