model_id,dv,ref_wave,term,wave_label,estimate,std.error,conf.low,conf.high,statistic,p.value
M3,Trust: media,2016,wave_fac2019,2019,-0.6787368359395479,0.06593303725545006,-0.8080080208674034,-0.5494656510116924,-10.294335953459251,1.668190522533973e-24
M4,Trust: civil society,2016,wave_fac2019,2019,-0.7444107851821855,0.06559378977123252,-0.873016826714649,-0.615804743649722,-11.34879975342821,2.44007852380563e-29
M5,Trust: national assembly,2016,wave_fac2019,2019,-0.5712478671777572,0.07009013010399355,-0.7086696294300618,-0.4338261049254526,-8.150189853124685,5.010343477824962e-16
