"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","OR_lo","OR_hi","p_stars"
"(Intercept)",0.817603835641907,0.509295122893341,1.60536356797812,0.108413817148369,-0.179688553626009,1.82059873253361,2.26506585969864,0.835530393804247,6.17555484879703,""
"dem_free_speech",0.00673289926010434,0.101847850558086,0.0661074261578491,0.947292298567971,-0.192823978961082,0.207133360214484,1.00675561618129,0.824627113086144,1.23014661345841,""
"gov_free_to_organize",-0.101030591631847,0.110940533603642,-0.910673388256813,0.362467489734677,-0.319445008104929,0.116130181493336,0.903905380522275,0.726552155757334,1.12314207492914,""
"edu_z",-0.00506286250290362,0.0601598751727703,-0.0841567986696087,0.932931765954354,-0.122715853878239,0.113266496986721,0.994949932183771,0.884514958351823,1.11993035124698,""
"urban",-0.156179628039273,0.141952267468595,-1.1002263706272,0.271233503504583,-0.433686610829433,0.123151046079042,0.855405521753179,0.648115335989651,1.13105524950629,""
