"wave","wave_year","wave_label","n_speech","mean_speech","se_speech","ci_lo_speech","ci_hi_speech","n_org","mean_org","se_org","ci_lo_org","ci_hi_org","pct_speech_hi","pct_org_hi"
2,2008,"W2 (2008)",989,2.08291203235592,0.0361820203240659,2.01190959483858,2.15391446987325,968,3.40805785123967,0.0278076006882655,3.35348765300276,3.46262804947658,34.1759352881699,85.6404958677686
3,2012,"W3 (2012)",1198,2.12604340567613,0.0296887874199108,2.06779555441657,2.18429125693569,1193,3.21123218776194,0.0248304370900519,3.16251595942943,3.25994841609446,31.4691151919866,84.4928751047779
4,2015,"W4 (2015)",1197,2.21553884711779,0.0270096459024215,2.16254728682726,2.26853040740832,1194,3.09882747068677,0.0234355379516854,3.05284801244683,3.1448069289267,33.3333333333333,82.7470686767169
6,2021,"W6 (2021)",1184,2.11570945945946,0.0244181888504954,2.06780167363875,2.16361724528017,1173,2.95737425404945,0.0226915178308457,2.91285371927768,3.00189478882121,28.7162162162162,76.9820971867008
