country_name,wave_label,wave_num,trust_govt,trust_mil,govt_change,mil_change
Thailand,"W2
(2005-08)",2,2.718861209964411,2.987508674531575,-0.13041614722760597,-0.08221107939870587
Thailand,"W3
(2010-12)",3,2.5639742673338093,2.8874032371569323,-0.15488694263060188,-0.10010543737464284
Thailand,"W4
(2014-16)",4,2.708826205641492,3.2660869565217387,0.14485193830768273,0.3786837193648065
Thailand,"W5
(2018-20)",5,2.861635220125788,3.2682268226822697,0.15280901448429596,0.0021398661605309677
Thailand,"W6
(2020-22)",6,1.8917253521126782,1.6224758560140462,-0.9699098680131097,-1.6457509666682235
Philippines,"W2
(2005-08)",2,2.2562770562770558,2.494923857868023,-0.23205627705628018,-0.08840947546531108
Philippines,"W3
(2010-12)",3,2.399831649831651,2.6585570469798663,0.1435545935545952,0.16363318911184344
Philippines,"W4
(2014-16)",4,2.375747224594364,2.752100840336131,-0.024084425237286933,0.09354379335626462
Philippines,"W5
(2018-20)",5,2.9879828326180253,3.3043844856661035,0.6122356080236613,0.55228364532997265
Philippines,"W6
(2020-22)",6,2.7529610829103217,3.127409891031011,-0.23502174970770362,-0.17697459463509269
Taiwan,"W2
(2005-08)",2,2.326788218793828,2.6316536550745195,-0.07321178120617233,-0.12001301159214695
Taiwan,"W3
(2010-12)",3,2.2938356164383555,2.4594972067039103,-0.03295260235547248,-0.17215644837060928
Taiwan,"W4
(2014-16)",4,2.163671373555841,2.380039656311963,-0.1301642428825147,-0.07945755039194724
Taiwan,"W5
(2018-20)",5,2.172236503856041,2.719895287958114,0.008565130300200341,0.33985563164615096
Taiwan,"W6
(2020-22)",6,2.438608458390177,2.6696428571428577,0.26637195453413565,-0.05025243081525632
